Fecha,MemoriaUsadaJVM(bytes)
2020-08-03 04:37:53,125087752
2020-08-03 04:38:03,144071104
2020-08-03 04:38:13,153921120
2020-08-03 04:38:23,174217064
2020-08-03 04:38:33,175551312
2020-08-03 04:38:43,176887160
2020-08-03 04:38:53,201263440
2020-08-03 04:39:03,146116792
2020-08-03 04:39:13,195148920
2020-08-03 04:39:23,107925608
2020-08-03 04:39:33,177165360
2020-08-03 04:39:43,127169672
2020-08-03 04:39:53,175662456
2020-08-03 04:40:03,139389408
2020-08-03 04:40:13,153718056
2020-08-03 04:40:23,170994464
2020-08-03 04:40:33,84005104
2020-08-03 04:40:43,114256744
2020-08-03 04:40:53,157559320
2020-08-03 04:41:03,174371920
2020-08-03 04:41:13,175746328
2020-08-03 04:41:24,93292472
2020-08-03 04:41:34,155902752
2020-08-03 04:41:44,197211552
2020-08-03 04:41:54,108896064
2020-08-03 04:42:04,136752512
2020-08-03 04:42:14,138086624
2020-08-03 04:42:24,166250896
2020-08-03 04:42:34,74620208
2020-08-03 04:42:44,77728376
2020-08-03 04:42:54,120972688
2020-08-03 04:43:04,163700736
2020-08-03 04:43:14,115474320
2020-08-03 04:43:24,181186792
2020-08-03 04:43:34,108144432
2020-08-03 04:43:44,117462080
2020-08-03 04:43:54,130114528
2020-08-03 04:44:04,131487080
2020-08-03 04:44:14,132866416
2020-08-03 04:44:24,148557768
2020-08-03 04:44:34,168549024
2020-08-03 04:44:44,169929480
2020-08-03 04:44:54,97318640
2020-08-03 04:45:04,137259072
2020-08-03 04:45:14,166318624
2020-08-03 04:45:24,203399880
2020-08-03 04:45:34,156806464
2020-08-03 04:45:44,86559752
2020-08-03 04:45:54,131356888
2020-08-03 04:46:04,187665368
2020-08-03 04:46:14,106316192
2020-08-03 04:46:24,165369888
2020-08-03 04:46:34,108322264
2020-08-03 04:46:44,162596848
2020-08-03 04:46:54,101217616
2020-08-03 04:47:04,162982704
2020-08-03 04:47:14,117735200
2020-08-03 04:47:24,173584672
2020-08-03 04:47:34,121518128
2020-08-03 04:47:44,184741936
2020-08-03 04:47:54,119620376
2020-08-03 04:48:04,130226128
2020-08-03 04:48:14,131597984
2020-08-03 04:48:24,147932576
2020-08-03 04:48:34,108409480
2020-08-03 04:48:44,138278352
2020-08-03 04:48:54,188231184
2020-08-03 04:49:04,136839992
2020-08-03 04:49:14,189033672
2020-08-03 04:49:24,111740680
2020-08-03 04:49:34,174871912
2020-08-03 04:49:44,108801752
2020-08-03 04:49:54,172600480
2020-08-03 04:50:04,109006128
2020-08-03 04:50:14,118353216
2020-08-03 04:50:24,130560024
2020-08-03 04:50:34,186254992
2020-08-03 04:50:44,90840144
2020-08-03 04:50:54,130787216
2020-08-03 04:51:04,195093704
2020-08-03 04:51:14,119024904
2020-08-03 04:51:24,166691144
2020-08-03 04:51:34,110625704
2020-08-03 04:51:44,179914664
2020-08-03 04:51:54,107390848
2020-08-03 04:52:04,192730592
2020-08-03 04:52:15,121162992
2020-08-03 04:52:25,177638936
2020-08-03 04:52:35,90756056
2020-08-03 04:52:45,100741616
2020-08-03 04:52:55,123632552
2020-08-03 04:53:05,158512456
2020-08-03 04:53:15,201367520
2020-08-03 04:53:25,142945304
2020-08-03 04:53:35,184334440
2020-08-03 04:53:45,85263784
2020-08-03 04:53:55,129389880
2020-08-03 04:54:05,188181520
2020-08-03 04:54:15,94855440
2020-08-03 04:54:25,135804624
2020-08-03 04:54:35,199648472
2020-08-03 04:54:45,88451864
2020-08-03 04:54:55,121002384
2020-08-03 04:55:05,174067528
2020-08-03 04:55:15,98035488
2020-08-03 04:55:25,154889528
2020-08-03 04:55:35,85809392
2020-08-03 04:55:45,138238440
2020-08-03 04:55:55,142966496
2020-08-03 04:56:05,144310720
2020-08-03 04:56:15,146850912
2020-08-03 04:56:25,194203688
2020-08-03 04:56:35,130366480
2020-08-03 04:56:45,157954208
2020-08-03 04:56:55,169037880
2020-08-03 04:57:05,97152216
2020-08-03 04:57:15,148305384
2020-08-03 04:57:25,116179400
2020-08-03 04:57:35,188314312
2020-08-03 04:57:45,100002120
2020-08-03 04:57:55,143854424
2020-08-03 04:58:05,145239656
2020-08-03 04:58:15,148660032
2020-08-03 04:58:25,171483528
2020-08-03 04:58:35,184248408
2020-08-03 04:58:45,196178864
2020-08-03 04:58:55,112186784
2020-08-03 04:59:05,154655248
2020-08-03 04:59:15,202569296
2020-08-03 04:59:25,135341368
2020-08-03 04:59:35,87790224
2020-08-03 04:59:45,125470840
2020-08-03 04:59:55,147521296
2020-08-03 05:00:05,180006888
2020-08-03 05:00:15,91216744
2020-08-03 05:00:25,134066776
2020-08-03 05:00:35,192026696
2020-08-03 05:00:45,110243000
2020-08-03 05:00:55,166334152
2020-08-03 05:01:05,123845608
2020-08-03 05:01:15,173747936
2020-08-03 05:01:25,93902992
2020-08-03 05:01:35,102363512
2020-08-03 05:01:45,113390024
2020-08-03 05:01:55,145255048
2020-08-03 05:02:05,181577760
2020-08-03 05:02:15,98763992
2020-08-03 05:02:25,151281448
2020-08-03 05:02:35,186865808
2020-08-03 05:02:45,198106736
2020-08-03 05:02:55,92238576
2020-08-03 05:03:05,157674816
2020-08-03 05:03:16,195914872
2020-08-03 05:03:26,115984160
2020-08-03 05:03:36,172199408
2020-08-03 05:03:46,174769776
