Fecha,CPU_Load,Memory_Used,Free_Memory
2020-08-03 01:23:31,0,42.69,2039
2020-08-03 01:23:41,0,42.69,2039
2020-08-03 01:23:51,4,42.71,2039
2020-08-03 01:24:01,0,42.71,2039
2020-08-03 01:24:11,0,42.71,2039
2020-08-03 01:24:21,4,42.69,2040
2020-08-03 01:24:31,7,42.71,2038
2020-08-03 01:24:41,0,42.74,2038
2020-08-03 01:24:51,0,42.73,2038
2020-08-03 01:25:01,0,42.74,2038
2020-08-03 01:25:11,0,42.74,2038
2020-08-03 01:25:21,0,42.74,2037
2020-08-03 01:25:41,13,42.8,2035
2020-08-03 01:25:51,0,42.77,2036
2020-08-03 01:26:01,2,42.77,2036
2020-08-03 01:26:11,0,42.8,2036
2020-08-03 01:26:21,0,42.8,2036
2020-08-03 01:26:31,4,42.82,2035
2020-08-03 01:26:51,2,42.81,2035
2020-08-03 01:27:01,0,42.78,2035
2020-08-03 01:27:11,0,42.8,2035
2020-08-03 01:27:21,4,42.8,2035
2020-08-03 01:27:31,0,42.79,2036
2020-08-03 01:27:41,0,42.79,2036
2020-08-03 01:27:51,0,42.8,2036
2020-08-03 01:28:01,2,42.81,2035
2020-08-03 01:28:21,4,42.78,2036
2020-08-03 01:28:31,0,42.74,2037
2020-08-03 01:28:41,0,42.75,2037
2020-08-03 01:28:51,2,42.77,2037
2020-08-03 01:29:01,7,42.75,2038
2020-08-03 01:29:11,0,42.74,2038
2020-08-03 01:29:21,8,42.79,2037
2020-08-03 01:29:31,2,42.77,2037
2020-08-03 01:29:41,0,42.77,2037
2020-08-03 01:29:51,4,42.73,2037
2020-08-03 01:30:01,0,42.75,2037
2020-08-03 01:30:11,0,42.74,2037
2020-08-03 01:30:21,4,42.75,2038
2020-08-03 01:30:31,4,42.74,2038
2020-08-03 01:30:41,2,42.76,2038
2020-08-03 01:30:51,2,43.04,2026
2020-08-03 01:31:01,0,42.72,2038
2020-08-03 01:31:11,0,42.74,2038
2020-08-03 01:31:22,4,42.75,2037
